Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Les Rasses;1452;0;Bullet;5552;VD;2531117.513;1187967.093;fr;01.07.2008
Bullet;1453;0;Bullet;5552;VD;2533043.915;1188998.433;fr;01.07.2008
Champagne;1424;0;Champagne;5553;VD;2540107.663;1187474.759;fr;01.07.2008
Concise;1426;0;Concise;5554;VD;2545659.36;1190688.88;fr;01.07.2008
Vaumarcus;2028;0;Concise;5554;VD;2547329.709;1191180.26;fr;01.07.2008
Corcelles-près-Concise;1426;1;Corcelles-près-Concise;5555;VD;2543645.023;1189134.631;fr;01.07.2008
Fiez;1420;0;Fiez;5556;VD;2538133.921;1186649.384;fr;01.07.2008
Bullet;1453;0;Fiez;5556;VD;2532166.732;1190703.476;fr;01.07.2008
Fontaines-sur-Grandson;1421;0;Fontaines-sur-Grandson;5557;VD;2537311.541;1187221.044;fr;01.07.2008
Mauborget;1453;2;Fontaines-sur-Grandson;5557;VD;2534960.134;1191587.882;fr;01.07.2008
Giez;1429;0;Giez;5559;VD;2536766.409;1185074.129;fr;01.07.2008
Grandevent;1421;2;Grandevent;5560;VD;2536460.151;1188227.436;fr;01.07.2008
Bullet;1453;0;Grandevent;5560;VD;2535342.189;1188632.045;fr;01.07.2008
Mauborget;1453;2;Grandevent;5560;VD;2535264.707;1189410.367;fr;01.07.2008
Grandson;1422;0;Grandson;5561;VD;2538998.208;1184823.443;fr;01.07.2008
Mauborget;1453;2;Mauborget;5562;VD;2536916.594;1191164.494;fr;01.07.2008
Mutrux;1428;2;Mutrux;5563;VD;2545679.837;1192438.86;fr;01.07.2008
Novalles;1431;2;Novalles;5564;VD;2535467.787;1187192.685;fr;01.07.2008
Onnens VD;1425;0;Onnens (VD);5565;VD;2542705.159;1188384.212;fr;01.07.2008
Provence;1428;1;Provence;5566;VD;2543946.04;1193990.605;fr;01.07.2008
Couvet;2108;0;Provence;5566;VD;2543321.771;1196933.927;fr;01.07.2008
Vuiteboeuf;1445;0;Sainte-Croix;5568;VD;2532187.524;1184947.386;fr;01.07.2008
Ste-Croix;1450;0;Sainte-Croix;5568;VD;2528467.66;1186887.075;fr;01.07.2008
La Sagne (Ste-Croix);1450;2;Sainte-Croix;5568;VD;2528176.156;1184599.558;fr;01.07.2008
Le Château-de-Ste-Croix;1450;3;Sainte-Croix;5568;VD;2530818.93;1185541.955;fr;01.07.2008
Les Rasses;1452;0;Sainte-Croix;5568;VD;2530435.002;1186994.87;fr;01.07.2008
L'Auberson;1454;0;Sainte-Croix;5568;VD;2525526.009;1185222.525;fr;01.07.2008
La Vraconnaz;1454;2;Sainte-Croix;5568;VD;2526681.476;1188540.88;fr;01.07.2008
Villars-Burquin;1423;0;Tévenon;5571;VD;2538045.282;1188801.594;fr;01.07.2008
Fontanezier;1423;2;Tévenon;5571;VD;2540658.952;1190308.8;fr;01.07.2008
Romairon;1423;3;Tévenon;5571;VD;2539282.58;1189089.338;fr;01.07.2008
Vaugondry;1423;4;Tévenon;5571;VD;2538809.991;1188650.415;fr;01.07.2008
Mauborget;1453;2;Tévenon;5571;VD;2537998.47;1192343.689;fr;01.07.2008
Belmont-sur-Lausanne;1092;0;Belmont-sur-Lausanne;5581;VD;2542613.932;1153323.897;fr;01.07.2008
Cheseaux-sur-Lausanne;1033;0;Cheseaux-sur-Lausanne;5582;VD;2535410.853;1159377.673;fr;01.07.2008
Crissier;1023;0;Crissier;5583;VD;2533965.759;1156364.41;fr;01.07.2008
Cheseaux-sur-Lausanne;1033;0;Crissier;5583;VD;2534050.731;1158393.22;fr;01.07.2008
Epalinges;1066;0;Epalinges;5584;VD;2540799.256;1156005.813;fr;01.07.2008
Jouxtens-Mézery;1008;2;Jouxtens-Mézery;5585;VD;2535345.038;1156097.506;fr;01.07.2008
Lausanne 25;1000;25;Lausanne;5586;VD;2542510.369;1158315.802;fr;01.07.2008
Lausanne 26;1000;26;Lausanne;5586;VD;2543135.035;1156066.783;fr;01.07.2008
Lausanne 27;1000;27;Lausanne;5586;VD;2541916.465;1154770.976;fr;01.07.2008
Lausanne;1003;0;Lausanne;5586;VD;2537956.365;1152398.708;fr;01.07.2008
Lausanne;1004;0;Lausanne;5586;VD;2537089.399;1153350.009;fr;01.07.2008
Lausanne;1005;0;Lausanne;5586;VD;2538907.34;1152372.796;fr;01.07.2008
Lausanne;1006;0;Lausanne;5586;VD;2538483.524;1151416.349;fr;01.07.2008
Lausanne;1007;0;Lausanne;5586;VD;2536441.65;1152102.321;fr;01.07.2008
Lausanne;1010;0;Lausanne;5586;VD;2540185.345;1154170.262;fr;01.07.2008
Lausanne;1011;0;Lausanne;5586;VD;2538935.872;1153097.696;fr;01.07.2008
Lausanne;1012;0;Lausanne;5586;VD;2540021.881;1153074.655;fr;01.07.2008
Lausanne;1018;0;Lausanne;5586;VD;2537864.88;1154485.085;fr;01.07.2008
Crissier;1023;0;Lausanne;5586;VD;2534771.115;1156568.319;fr;01.07.2008
Romanel-sur-Lausanne;1032;0;Lausanne;5586;VD;2536570.964;1158065.883;fr;01.07.2008
Cheseaux-sur-Lausanne;1033;0;Lausanne;5586;VD;2535876.049;1158669.567;fr;01.07.2008
Cugy VD;1053;0;Lausanne;5586;VD;2540164.171;1159743.816;fr;01.07.2008
Le Mont-sur-Lausanne;1052;0;Le Mont-sur-Lausanne;5587;VD;2538660.873;1156581.561;fr;01.07.2008
Paudex;1094;0;Paudex;5588;VD;2541258.991;1151071.968;fr;01.07.2008
Lutry;1095;0;Paudex;5588;VD;2541428.44;1151088.559;fr;01.07.2008
Prilly;1008;0;Prilly;5589;VD;2535977.633;1154306.959;fr;01.07.2008
Pully;1009;0;Pully;5590;VD;2539990.437;1151520.455;fr;01.07.2008
Les Monts-de-Pully;1068;0;Pully;5590;VD;2542058.408;1153927.754;fr;01.07.2008
Prilly;1008;0;Renens (VD);5591;VD;2535633.311;1153352.766;fr;01.07.2008
Renens VD;1020;0;Renens (VD);5591;VD;2534863.381;1154258.261;fr;01.07.2008
Romanel-sur-Lausanne;1032;0;Romanel-sur-Lausanne;5592;VD;2536311.553;1157295.708;fr;01.07.2008
Chexbres;1071;0;Chexbres;5601;VD;2549322.328;1148295.743;fr;01.07.2008
Forel (Lavaux);1072;0;Forel (Lavaux);5604;VD;2548216.86;1154848.207;fr;01.07.2008
Les Cullayes;1080;0;Forel (Lavaux);5604;VD;2547950.385;1157332.59;fr;01.07.2008
Grandvaux;1091;0;Forel (Lavaux);5604;VD;2546476.492;1151512.7;fr;01.07.2008
La Croix (Lutry);1090;0;Lutry;5606;VD;2543456.082;1152743.772;fr;01.07.2008
Belmont-sur-Lausanne;1092;0;Lutry;5606;VD;2542732.579;1152808.898;fr;01.07.2008
La Conversion;1093;0;Lutry;5606;VD;2542211.979;1151672.325;fr;01.07.2008
Lutry;1095;0;Lutry;5606;VD;2542710.711;1150809.988;fr;01.07.2008
Puidoux;1070;0;Puidoux;5607;VD;2550053.55;1151422.033;fr;01.07.2008
Rivaz;1071;1;Puidoux;5607;VD;2549211.409;1147274.121;fr;01.07.2008
Cully;1096;0;Puidoux;5607;VD;2547503.207;1148390.936;fr;01.07.2008
Epesses;1098;0;Puidoux;5607;VD;2547714.047;1148488.571;fr;01.07.2008
Les Thioleyres;1607;4;Puidoux;5607;VD;2551631.848;1154517.376;fr;01.07.2008
Chexbres;1071;0;Rivaz;5609;VD;2549229.453;1147737.465;fr;01.07.2008
Rivaz;1071;1;Rivaz;5609;VD;2549447.003;1147454.952;fr;01.07.2008
St-Saphorin (Lavaux);1071;2;Saint-Saphorin (Lavaux);5610;VD;2550378.933;1147786.824;fr;01.07.2008
Savigny;1073;0;Savigny;5611;VD;2545329.309;1154353.646;fr;01.07.2008
Mollie-Margot;1073;2;Savigny;5611;VD;2546294.677;1156937.126;fr;01.07.2008
La Croix (Lutry);1090;0;Savigny;5611;VD;2544558.516;1152151.18;fr;01.07.2008
Aran;1091;1;Savigny;5611;VD;2544854.08;1152140.657;fr;01.07.2008
Puidoux;1070;0;Bourg-en-Lavaux;5613;VD;2547477.745;1150647.993;fr;01.07.2008
Grandvaux;1091;0;Bourg-en-Lavaux;5613;VD;2545494.796;1150923.231;fr;01.07.2008
Aran;1091;1;Bourg-en-Lavaux;5613;VD;2544621.968;1151351.511;fr;01.07.2008
Chenaux;1091;3;Bourg-en-Lavaux;5613;VD;2545711.358;1149628.203;fr;01.07.2008
Lutry;1095;0;Bourg-en-Lavaux;5613;VD;2543839.578;1150296.713;fr;01.07.2008
Cully;1096;0;Bourg-en-Lavaux;5613;VD;2545366.124;1148783.196;fr;01.07.2008
Villette (Lavaux);1096;2;Bourg-en-Lavaux;5613;VD;2543986.306;1149642.666;fr;01.07.2008
Riex;1097;0;Bourg-en-Lavaux;5613;VD;2546507.438;1150230.893;fr;01.07.2008
Epesses;1098;0;Bourg-en-Lavaux;5613;VD;2547324.594;1149969.401;fr;01.07.2008
Aclens;1123;0;Aclens;5621;VD;2528740.664;1157918.467;fr;01.07.2008
Bremblens;1121;0;Bremblens;5622;VD;2529592.902;1155845.363;fr;01.07.2008
Buchillon;1164;0;Buchillon;5623;VD;2520933.442;1146668.837;fr;01.07.2008
Bussigny;1030;0;Bussigny;5624;VD;2531648.941;1156262.36;fr;01.05.2014
Lausanne;1015;0;Chavannes-près-Renens;5627;VD;2534441.521;1152812.451;fr;01.07.2008
Chavannes-près-Renens;1022;0;Chavannes-près-Renens;5627;VD;2533948.04;1153650.357;fr;01.07.2008
Chigny;1134;2;Chigny;5628;VD;2526244.989;1152036.759;fr;01.07.2008
Clarmont;1127;0;Clarmont;5629;VD;2524144.797;1155747.896;fr;01.07.2008
Denens;1135;0;Denens;5631;VD;2524350.31;1152299.081;fr;01.07.2008
Denges;1026;2;Denges;5632;VD;2530995.326;1152695.37;fr;01.07.2008
Echandens;1026;3;Echandens;5633;VD;2530844.93;1154841.002;fr;01.07.2008
Echichens;1112;0;Echichens;5634;VD;2527540.101;1153635.274;fr;01.07.2008
St-Saphorin-sur-Morges;1113;0;Echichens;5634;VD;2527266.018;1155245.039;fr;01.07.2008
Colombier VD;1114;0;Echichens;5634;VD;2525739.908;1156511.194;fr;01.07.2008
Monnaz;1125;0;Echichens;5634;VD;2526437.42;1153783.545;fr;01.07.2008
Lausanne;1015;0;Ecublens (VD);5635;VD;2533335.41;1152509.016;fr;01.07.2008
Ecublens VD;1024;0;Ecublens (VD);5635;VD;2532595.64;1153498.509;fr;01.07.2008
Etoy;1163;0;Etoy;5636;VD;2521904.372;1148495.551;fr;01.07.2008
Aubonne;1170;0;Lavigny;5637;VD;2520828.487;1149007.823;fr;01.07.2008
Lavigny;1175;0;Lavigny;5637;VD;2520951.366;1150486.495;fr;01.07.2008
Lonay;1027;0;Lonay;5638;VD;2529443.444;1153628.322;fr;01.07.2008
Lully VD;1132;0;Lully (VD);5639;VD;2525212.351;1150929.489;fr;01.07.2008
St-Prex;1162;0;Lully (VD);5639;VD;2525704.931;1149798.782;fr;01.07.2008
Lussy-sur-Morges;1167;0;Lussy-sur-Morges;5640;VD;2523984.018;1150490.596;fr;01.07.2008
Morges;1110;0;Morges;5642;VD;2527581.683;1151797.255;fr;01.07.2008
Préverenges;1028;0;Préverenges;5643;VD;2530187.353;1152219.651;fr;01.07.2008
Romanel-sur-Morges;1122;0;Romanel-sur-Morges;5645;VD;2528719.561;1156450.906;fr;01.07.2008
St-Prex;1162;0;Saint-Prex;5646;VD;2523884.009;1148688.201;fr;01.07.2008
Lausanne;1015;0;Saint-Sulpice (VD);5648;VD;2534258.036;1152326.683;fr;01.07.2008
St-Sulpice VD;1025;0;Saint-Sulpice (VD);5648;VD;2532338.943;1151711.505;fr;01.07.2008
Tolochenaz;1131;0;Tolochenaz;5649;VD;2526211.773;1150597.021;fr;01.07.2008
Vaux-sur-Morges;1126;0;Vaux-sur-Morges;5650;VD;2525220.587;1154506.956;fr;01.07.2008
Villars-Ste-Croix;1029;0;Villars-Sainte-Croix;5651;VD;2532883.923;1157517.241;fr;01.07.2008
Villars-sous-Yens;1168;0;Villars-sous-Yens;5652;VD;2522507.611;1151139.84;fr;01.07.2008
Vufflens-le-Château;1134;0;Vufflens-le-Château;5653;VD;2525709.01;1152932.575;fr;01.07.2008
Vullierens;1115;0;Vullierens;5654;VD;2526410.587;1158739.25;fr;01.07.2008
Yens;1169;0;Yens;5655;VD;2520734.543;1153184.003;fr;01.07.2008
Cottens VD;1116;0;Hautemorges;5656;VD;2524459.256;1158331.598;fr;01.07.2008
Reverolle;1128;0;Hautemorges;5656;VD;2523438.062;1155095.7;fr;01.07.2008
Bussy-Chardonney;1136;0;Hautemorges;5656;VD;2523206.85;1153792.215;fr;01.07.2008
Sévery;1141;0;Hautemorges;5656;VD;2523621.903;1158401.052;fr;01.07.2008
Pampigny;1142;0;Hautemorges;5656;VD;2521658.735;1159765.222;fr;01.07.2008
Apples;1143;0;Hautemorges;5656;VD;2521780.335;1156532.625;fr;01.07.2008
Bercher;1038;0;Boulens;5661;VD;2544840.18;1171813.373;fr;01.07.2008
Boulens;1063;3;Boulens;5661;VD;2544947.172;1170365.557;fr;01.07.2008
Bussy-sur-Moudon;1514;0;Bussy-sur-Moudon;5663;VD;2551989.253;1171310.219;fr;01.07.2008
Moudon;1510;0;Chavannes-sur-Moudon;5665;VD;2552925.344;1168938.634;fr;01.07.2008
Chavannes-sur-Moudon;1512;0;Chavannes-sur-Moudon;5665;VD;2552153.961;1167663.203;fr;01.07.2008
Curtilles;1521;0;Curtilles;5669;VD;2554932.784;1172058.784;fr;01.07.2008
Dompierre VD;1682;3;Dompierre (VD);5671;VD;2557396.727;1173571.59;fr;01.07.2008
Peney-le-Jorat;1059;0;Hermenches;5673;VD;2546662.508;1165512.619;fr;01.07.2008
Hermenches;1513;0;Hermenches;5673;VD;2547682.364;1165631.25;fr;01.07.2008
Lovatens;1682;2;Lovatens;5674;VD;2556269.427;1171635.626;fr;01.07.2008
Lucens;1522;0;Lucens;5675;VD;2553960.741;1173213.183;fr;01.07.2008
Oulens-sur-Lucens;1522;9;Lucens;5675;VD;2552332.213;1173099.762;fr;01.07.2008
Forel-sur-Lucens;1526;0;Lucens;5675;VD;2553007.276;1175161.401;fr;01.07.2008
Cremin;1526;2;Lucens;5675;VD;2554291.793;1174911.863;fr;01.07.2008
Brenles;1683;0;Lucens;5675;VD;2555482.654;1168814.114;fr;01.07.2008
Chesalles-sur-Moudon;1683;2;Lucens;5675;VD;2553825.911;1169509.537;fr;01.07.2008
Sarzens;1683;3;Lucens;5675;VD;2554980.252;1170395.586;fr;01.07.2008
Moudon;1510;0;Moudon;5678;VD;2550459.262;1169009.271;fr;01.07.2008
Ogens;1045;0;Ogens;5680;VD;2545387.997;1173275.193;fr;01.07.2008
Prévonloup;1682;0;Prévonloup;5683;VD;2557483.089;1171945.487;fr;01.07.2008
Rossenges;1513;2;Rossenges;5684;VD;2549179.342;1167271.711;fr;01.07.2008
Syens;1510;2;Syens;5688;VD;2549380.008;1165890.669;fr;01.07.2008
Villars-le-Comte;1515;0;Villars-le-Comte;5690;VD;2551265.004;1173736.563;fr;01.07.2008
Vucherens;1509;0;Vucherens;5692;VD;2549143.561;1164265.199;fr;01.07.2008
Bercher;1038;0;Montanaire;5693;VD;2544884.381;1171890.901;fr;01.07.2008
Chapelle-sur-Moudon;1063;0;Montanaire;5693;VD;2546320.855;1169080.181;fr;01.07.2008
Martherenges;1063;2;Montanaire;5693;VD;2547732.717;1168032.603;fr;01.07.2008
Peyres-Possens;1063;4;Montanaire;5693;VD;2544173.263;1168245.976;fr;01.07.2008
Chanéaz;1409;0;Montanaire;5693;VD;2546788.305;1175541.166;fr;01.07.2008
Thierrens;1410;0;Montanaire;5693;VD;2547928.139;1172676.342;fr;01.07.2008
Correvon;1410;2;Montanaire;5693;VD;2546556.453;1174226.298;fr;01.07.2008
Denezy;1410;3;Montanaire;5693;VD;2550129.567;1174755.864;fr;01.07.2008
St-Cierges;1410;5;Montanaire;5693;VD;2546194.731;1171174.457;fr;01.07.2008
Neyruz-sur-Moudon;1515;1;Montanaire;5693;VD;2550291.157;1172061.83;fr;01.07.2008
Arnex-sur-Nyon;1277;1;Arnex-sur-Nyon;5701;VD;2504124.651;1136488.121;fr;01.07.2008
St-Cergue;1264;0;Arzier-Le Muids;5702;VD;2499491.498;1147230.149;fr;01.07.2008
Arzier-Le Muids;1273;0;Arzier-Le Muids;5702;VD;2499797.468;1149669.692;fr;01.04.2015
Bassins;1269;0;Bassins;5703;VD;2504898.213;1149248.283;fr;01.07.2008
Begnins;1268;0;Begnins;5704;VD;2508864.026;1144636.125;fr;01.07.2008
Bogis-Bossey;1279;2;Bogis-Bossey;5705;VD;2502004.924;1134501.133;fr;01.07.2008
Borex;1277;0;Borex;5706;VD;2503154.29;1137232.965;fr;01.07.2008
Chavannes-de-Bogis;1279;0;Chavannes-de-Bogis;5707;VD;2501048.598;1132818.926;fr;01.07.2008
Chavannes-des-Bois;1290;2;Chavannes-des-Bois;5708;VD;2499707.45;1130170.822;fr;01.07.2008
Chéserex;1275;0;Chéserex;5709;VD;2500780.24;1140742.922;fr;01.07.2008
Gingins;1276;0;Chéserex;5709;VD;2497074.208;1142418.992;fr;01.07.2008
Coinsins;1267;2;Coinsins;5710;VD;2507591.007;1142183.169;fr;01.07.2008
Commugny;1291;0;Commugny;5711;VD;2501867.492;1131045.369;fr;01.07.2008
Coppet;1296;0;Coppet;5712;VD;2503778.676;1130690.718;fr;01.07.2008
Founex;1297;0;Coppet;5712;VD;2503682.743;1131554.954;fr;01.07.2008
Crans VD;1299;0;Crans (VD);5713;VD;2504863.494;1135425.816;fr;01.01.2021
Crassier;1263;0;Crassier;5714;VD;2502290.589;1136846.405;fr;01.07.2008
Duillier;1266;0;Duillier;5715;VD;2507132.838;1140471.63;fr;01.07.2008
Eysins;1262;0;Eysins;5716;VD;2505125.077;1137197.772;fr;01.07.2008
Founex;1297;0;Founex;5717;VD;2503368.802;1132414.594;fr;01.07.2008
Genolier;1272;0;Genolier;5718;VD;2506474.376;1143283.641;fr;01.07.2008
Gingins;1276;0;Gingins;5719;VD;2501280.028;1142342.014;fr;01.07.2008
Givrins;1271;0;Givrins;5720;VD;2504365.946;1143174.072;fr;01.07.2008
Genolier;1272;0;Givrins;5720;VD;2504745.739;1143719.583;fr;01.07.2008
Gland;1196;0;Gland;5721;VD;2510546.079;1141010.483;fr;01.07.2008
Grens;1274;3;Grens;5722;VD;2504064.42;1139071.303;fr;01.07.2008
Versoix;1290;0;Mies;5723;VD;2501272.221;1128293.182;fr;01.07.2008
Mies;1295;1;Mies;5723;VD;2502235.27;1128821.209;fr;01.07.2008
Nyon;1260;0;Nyon;5724;VD;2506787.059;1137565.313;fr;01.07.2008
Prangins;1197;0;Prangins;5725;VD;2509066.242;1139607.785;fr;01.07.2008
Nyon;1260;0;Prangins;5725;VD;2507779.092;1138757.585;fr;01.07.2008
Chéserex;1275;0;La Rippe;5726;VD;2500707.358;1139407.185;fr;01.07.2008
La Rippe;1278;0;La Rippe;5726;VD;2498593.828;1140129.116;fr;01.07.2008
St-Cergue;1264;0;Saint-Cergue;5727;VD;2500048.24;1145212.986;fr;01.07.2008
La Cure;1265;0;Saint-Cergue;5727;VD;2496783.213;1146608.664;fr;01.07.2008
Gingins;1276;0;Saint-Cergue;5727;VD;2502896.819;1142445.091;fr;01.07.2008
Signy;1274;1;Signy-Avenex;5728;VD;2504954.932;1138732.653;fr;01.07.2008
Tannay;1295;2;Tannay;5729;VD;2502445.906;1129634.048;fr;01.07.2008
Trélex;1270;0;Trélex;5730;VD;2504402.046;1141556.322;fr;01.07.2008
Grens;1274;3;Trélex;5730;VD;2504622.254;1140229.178;fr;01.07.2008
Le Vaud;1261;33;Le Vaud;5731;VD;2507486.59;1148340.25;fr;01.07.2008
Vich;1267;1;Vich;5732;VD;2508623.676;1142768.541;fr;01.07.2008
L'Abergement;1355;0;L'Abergement;5741;VD;2526890.869;1178577.991;fr;01.07.2008
Lignerolle;1357;0;L'Abergement;5741;VD;2524248.829;1179813.088;fr;01.07.2008
Agiez;1352;0;Agiez;5742;VD;2528896.449;1174303.651;fr;01.07.2008
Arnex-sur-Orbe;1321;0;Arnex-sur-Orbe;5743;VD;2529608.237;1171901.629;fr;01.07.2008
Ballaigues;1338;0;Ballaigues;5744;VD;2521415.128;1176513.141;fr;01.07.2008
Baulmes;1446;0;Baulmes;5745;VD;2528599.126;1182232.02;fr;01.07.2008
L'Auberson;1454;0;Baulmes;5745;VD;2524529.328;1183576.099;fr;01.07.2008
Bavois;1372;0;Bavois;5746;VD;2533197.208;1170320.514;fr;01.07.2008
Bofflens;1353;0;Bofflens;5747;VD;2527833.749;1172905.092;fr;01.07.2008
Bretonnières;1329;0;Bretonnières;5748;VD;2525903.368;1174092.272;fr;01.07.2008
Chavornay;1373;0;Chavornay;5749;VD;2533103.482;1172997.042;fr;01.07.2008
Corcelles-sur-Chavornay;1374;0;Chavornay;5749;VD;2536407.981;1172288.597;fr;01.07.2008
Essert-Pittet;1435;0;Chavornay;5749;VD;2534334.619;1175489.753;fr;01.07.2008
Les Clées;1356;0;Les Clées;5750;VD;2525560.715;1175737.208;fr;01.07.2008
La Russille;1356;2;Les Clées;5750;VD;2527498.302;1176926.326;fr;01.07.2008
Croy;1322;0;Croy;5752;VD;2527070.411;1170926.38;fr;01.07.2008
Juriens;1326;0;Juriens;5754;VD;2523772.412;1170244.726;fr;01.07.2008
Lignerolle;1357;0;Lignerolle;5755;VD;2523972.827;1178299.916;fr;01.07.2008
Montcherand;1354;0;Montcherand;5756;VD;2529106.531;1176351.778;fr;01.07.2008
Orbe;1350;0;Orbe;5757;VD;2531550.42;1174999.98;fr;01.07.2008
La Praz;1148;6;La Praz;5758;VD;2522400.794;1169121.388;fr;01.07.2008
Premier;1324;0;Premier;5759;VD;2524002.875;1173914.741;fr;01.07.2008
Rances;1439;0;Rances;5760;VD;2529437.448;1179735.222;fr;01.07.2008
Romainmôtier;1323;0;Romainmôtier-Envy;5761;VD;2524781.479;1169429.646;fr;01.07.2008
Sergey;1355;2;Sergey;5762;VD;2528338.407;1178265.047;fr;01.07.2008
Valeyres-sous-Rances;1358;0;Valeyres-sous-Rances;5763;VD;2531192.671;1177852.592;fr;01.07.2008
Vallorbe;1337;0;Vallorbe;5764;VD;2518632.228;1173531.932;fr;01.07.2008
Vaulion;1325;0;Vaulion;5765;VD;2518512.293;1170613.642;fr;01.07.2008
Champvent;1443;0;Vuiteboeuf;5766;VD;2533749.529;1183165.297;fr;01.07.2008
Vuiteboeuf;1445;0;Vuiteboeuf;5766;VD;2532213.033;1184243.538;fr;01.07.2008
Corcelles-le-Jorat;1082;0;Corcelles-le-Jorat;5785;VD;2545728.213;1161085.72;fr;01.07.2008
Hermenches;1513;0;Corcelles-le-Jorat;5785;VD;2546860.406;1163732.721;fr;01.07.2008
Maracon;1613;0;Maracon;5790;VD;2556786.924;1156240.897;fr;01.07.2008
Montpreveyres;1081;0;Montpreveyres;5792;VD;2546322.451;1159218.476;fr;01.07.2008
Ropraz;1088;0;Ropraz;5798;VD;2547331.87;1162290.681;fr;01.07.2008
Servion;1077;0;Servion;5799;VD;2549484.373;1158340.743;fr;01.07.2008
Les Cullayes;1080;0;Servion;5799;VD;2547662.491;1158076.555;fr;01.07.2008
Carrouge VD;1084;0;Vulliens;5803;VD;2550187.719;1161313.739;fr;01.07.2008
Vulliens;1085;0;Vulliens;5803;VD;2550510.833;1163970.863;fr;01.07.2008
Montaubion-Chardonney;1041;22;Jorat-Menthue;5804;VD;2544516.197;1166303.84;fr;01.07.2008
Villars-Tiercelin;1058;0;Jorat-Menthue;5804;VD;2544449.226;1163130.181;fr;01.07.2008
Peney-le-Jorat;1059;0;Jorat-Menthue;5804;VD;2545655.668;1164443.266;fr;01.07.2008
Villars-Mendraz;1061;0;Jorat-Menthue;5804;VD;2545545.874;1166532.945;fr;01.07.2008
Sottens;1062;0;Jorat-Menthue;5804;VD;2547026.274;1166914.138;fr;01.07.2008
Peyres-Possens;1063;4;Jorat-Menthue;5804;VD;2544852.585;1167823.695;fr;01.07.2008
Essertes;1078;0;Oron;5805;VD;2550086.186;1156943.534;fr;01.07.2008
Palézieux;1607;0;Oron;5805;VD;2554114.286;1154839.297;fr;01.07.2008
Palézieux-Village;1607;1;Oron;5805;VD;2553682.071;1155800.146;fr;01.07.2008
Les Tavernes;1607;3;Oron;5805;VD;2551776.733;1155931.441;fr;01.07.2008
Les Thioleyres;1607;4;Oron;5805;VD;2552097.638;1154206.946;fr;01.07.2008
Oron-le-Châtel;1608;0;Oron;5805;VD;2554124.794;1158138.097;fr;01.07.2008
Bussigny-sur-Oron;1608;2;Oron;5805;VD;2555883.417;1157793.172;fr;01.07.2008
Chesalles-sur-Oron;1608;3;Oron;5805;VD;2555117.257;1158122.873;fr;01.07.2008
Oron-la-Ville;1610;0;Oron;5805;VD;2552951.407;1157766.04;fr;01.07.2008
Châtillens;1610;1;Oron;5805;VD;2551506.095;1156969.296;fr;01.07.2008
Vuibroye;1610;2;Oron;5805;VD;2551397.025;1157988.263;fr;01.07.2008
Ecoteaux;1612;0;Oron;5805;VD;2555402.628;1155682.454;fr;01.07.2008
Ferlens VD;1076;0;Jorat-Mézières;5806;VD;2550093.017;1160075.856;fr;01.07.2008
Mézières VD;1083;0;Jorat-Mézières;5806;VD;2548290.125;1159857.996;fr;01.07.2008
Carrouge VD;1084;0;Jorat-Mézières;5806;VD;2549115.799;1161462.563;fr;01.07.2008
Champtauroz;1537;0;Champtauroz;5812;VD;2550102.24;1178834.488;fr;01.07.2008
Chevroux;1545;0;Chevroux;5813;VD;2559785.387;1193391.981;fr;01.07.2008
Corcelles-près-Payerne;1562;0;Corcelles-près-Payerne;5816;VD;2563921.881;1188436.944;fr;01.07.2008
Cousset;1774;0;Corcelles-près-Payerne;5816;VD;2564300.19;1186362.217;fr;01.07.2008
Grandcour;1543;0;Grandcour;5817;VD;2561094.308;1191537.816;fr;01.07.2008
Henniez;1525;0;Henniez;5819;VD;2557840.045;1176927.302;fr;01.07.2008
Missy;1565;0;Missy;5821;VD;2564543.316;1191932.169;fr;01.07.2008
Payerne;1530;0;Payerne;5822;VD;2561297.978;1186173.96;fr;01.07.2008
Vers-chez-Perrin;1551;0;Payerne;5822;VD;2562557.11;1182975.813;fr;01.07.2008
Corcelles-près-Payerne;1562;0;Payerne;5822;VD;2562506.844;1188313.212;fr;01.07.2008
Trey;1552;0;Trey;5827;VD;2560651.887;1180286.427;fr;01.07.2008
Treytorrens (Payerne);1538;0;Treytorrens (Payerne);5828;VD;2551510.034;1180645.109;fr;01.07.2008
Sédeilles;1554;0;Villarzel;5830;VD;2561190.607;1177135.508;fr;01.07.2008
Rossens VD;1554;2;Villarzel;5830;VD;2560607.807;1175896.536;fr;01.07.2008
Villarzel;1555;0;Villarzel;5830;VD;2559446.323;1176914.548;fr;01.07.2008
Nuvilly;1485;0;Valbroye;5831;VD;2554312.481;1180849.572;fr;01.07.2008
Granges-près-Marnand;1523;0;Valbroye;5831;VD;2557630.487;1179659.525;fr;01.07.2008
Marnand;1524;0;Valbroye;5831;VD;2559038.534;1178756.714;fr;01.07.2008
Seigneux;1525;2;Valbroye;5831;VD;2556885.329;1175439;fr;01.07.2008
Sassel;1534;0;Valbroye;5831;VD;2555759.023;1180847.149;fr;01.07.2008
Combremont-le-Grand;1535;0;Valbroye;5831;VD;2552992.77;1179502.441;fr;01.07.2008
Combremont-le-Petit;1536;0;Valbroye;5831;VD;2551446.854;1177420.89;fr;01.07.2008
Villars-Bramard;1682;4;Valbroye;5831;VD;2559072.647;1174510.633;fr;01.07.2008
